めっき槽の洗浄作業中、二酸化窒素中毒となり入院本災害は、めっき槽の洗浄作業中に発生した。工場内の無電解ニッケルめっきラインのめっき槽洗浄工程において、めっき槽の洗浄に使用した硝酸を硝酸貯蔵槽に移送するため、バルブを開けようとした所、誤って、ニッケルめっき液の入っためっき予備槽に送るバルブを開けたため、めっき予備槽及びめっき廃液地下ピット内に硝酸が流れ込み、大量の二酸化窒素が発生し、作業を行っていた労働者1名が二酸化窒素中毒になった。被災者は、入院加療後に回復し、翌日退院した。,0,1,0,0
船の機関室下タンク内で、手直し塗装の作業中、有機溶剤中毒となり入院本災害は、建造中の船の機関室下タンク内で、手直し塗装の作業中に発生した。被災者は同僚の業務代替要員として休日出勤したが、一人で、建造中の船の機関室下タンク内に手直し塗装の確認のため立ち入った際、手直し塗装不十分の箇所があると判断し、スプレー缶（ジメチルエーテル・トルエン・エチルベンゼン等含有）を用いて不十分箇所の吹きつけ塗装を行い、数分後に意識を失った。翌日、被災者の上司がタンク内で両肘を抱えて座り、意識喪失している被災者を発見し、救急搬送をされ、有機溶剤中毒と診断された。長時間、同一姿勢で狭あいな場所にいたため、右下腿切断に至った。,0,1,0,0
トンネルのコンクリート舗装作業中、一酸化炭素中毒となり入院本災害は、貫通、覆工済のトンネルで、路盤のコンクリート舗装作業中に発生した。貫通、覆工済のトンネル内部、坑口から300～450m付近において、路盤のコンクリート舗装作業を行っていた労働者及び事業主の計26名が、コンクリート舗装用機械等の排ガスに含まれる一酸化炭素にばく露し、うち7名が体調不良を訴えて救急搬送され、一酸化炭素中毒と診断された。,0,4,3,0
小学校で看板の文字消し作業中、ジクロロメタン中毒となり入院本災害は、小学校の屋外で、剥離剤を使用した看板の文字消し作業中に発生した。小学校において被災者2名が草刈りを終え、屋外で剥離剤（ジクロロメタン）を使用して刷毛を使って標語が表示されていた看板の文字消しを開始した。剥離剤を使用する際に呼吸用保護具は着用していなかった。昼食のために作業を中断し教室に戻ると、被災者Ａが眩暈など体調不良を訴え昼食後に嘔吐、下痢を伴い更に体調が悪化した。被災者Ｂも同様に症状が悪化したため、両名とも病院を受診したところジクロロメタン中毒と診断された。,0,1,1,0
新幹線ホームの舗装修繕作業中、硫化水素中毒となり入院本災害は、Ａ駅において、新幹線ホームのアスファルト舗装の修繕（打ち換え）作業中に発生した。舗装の打ち換えは、舗装面を舗装カッターにより剥ぎ取り、アスファルトを含む舗装合材をガスバーナーで加熱しながらスコップで混練、スコップ、レーキにより敷き均し、振動コンパクタで転圧後、ガスバーナーによって表層を再度加熱して仕上げるという一連の作業からなる。被災者は主に混練作業に従事しており、舗装合材の加熱時に、アスファルトから発生した硫化水素を吸い込んだため、硫化水素中毒となった。被災者は、入院加療後に回復し、翌日退院した。,0,1,0,0
医薬・農薬用中間体となる物質を製造中、硫化水素中毒となり死亡医薬・農薬用中間体となる物質を製造中、反応釜中の硫化水素ガスを除去する脱ガス工程において、硫化ガスが漏洩した。当該事業場の化成品第一工場にある小部屋内で労働者Ａが仰向けに倒れていたのを、別の作業をしていた労働者Ｂが、硫化水素臭に気付いて発見した。ＢはＡの救助に向かったが、意識が朦朧として転倒し、頚椎捻挫を負った。Ａは救急隊員によって病院に搬送されたものの、硫化水素中毒による死亡が確認された。通常は大気開放バルブを「開」の状態でガス抜きを行うが、「閉」の状態で作業したために、反応釜内の圧力が急変して硫化水素ガスが漏洩したものと推定される。,1,1,0,0
酢酸エチルの入った金属コンテナ内に転落し、死亡本災害は、酢酸エチルのサンプリング作業中に発生した。屋外のコンテナ置場において、酢酸エチルが300リットル入った金属コンテナ（縦、横約1m×高さ約1.3m、上部の開口部内径394mm）の内部に倒れている被災者を発見した。解剖の結果、気道障害が認められ、死因は不詳の外因（腐食作用のある何らかの物質を吸引したことによる窒息ないし中毒の疑い）と診断されている。品質管理のサンプリングのためコンテナ上部に上がった被災者が、コンテナ内に落とした携帯電話を拾おうとして転落したものと予想される。,1,0,0,0
テレビ局スタジオ内において撮影作業中、ガス中毒本災害は、テレビ用コマーシャルを製作するスタジオ内での撮影作業中に発生した。スタジオ内において撮影作業をしていたところ、撮影スタッフ32名のうち16名が、同日の昼から夜間にかけ、のどの痛み、咳、発熱、全身の倦怠感などの症状を訴え、救急搬送に至った。病名は全員「ガス中毒」であった。当日は、撮影の準備作業として、午前7時から床面を水性塗料で塗装する作業を行い、9時から11時までは乾燥させるため、スタッフの大半はスタジオの内外で準備を行っていた。11時から撮影を開始し、撮影時にはスタジオを締切りにし、換気の悪い状態で作業を行っていた。16名のうち10名は1日間、1名が2日間入院加療後に回復し、退院した。,0,1,5,0
鶏舎内で殺虫剤の散布作業中、有機リン中毒となる本災害は、農場の鶏舎内で、殺虫剤の散布作業中に発生した。被災者Ａは、午後1時頃から、動力噴霧器を用いて有機リン系殺虫剤の散布作業を行っていた。上下雨具、長靴、ヘルメット、防じん用保護メガネ、マスク（不織布製）、塩ビの手袋を着用していたが、手袋や雨具袖口の内側に殺虫剤溶液が浸み込み、前腕部分に付着した。また着用したマスクにも付着していた。午後6時頃、体調に異変を感じたがそのまま作業を続け、午後6時30分頃作業が終了した。その後、嘔吐等の症状が現れたため家族へ連絡し、家族とともに病院へ行ったところ、有機リン中毒の診断を受けた。,0,1,0,0
バルブの開閉作業中、塩化ビニルモノマー中毒となり入院本災害は、塩化ビニルモノマーの回収ドレンタンクで、バルブの開閉作業中に発生した。塩化ビニルモノマーの回収ドレンタンクにおいて、呼吸用保護具を着用せずにバルブを開いてドレンを抜いた後、凍結により閉まりにくくなっていたバルブを、通常より大きなモンキーレンチを用いて閉める作業を行っている間に塩化ビニルモノマーを吸入し、意識を失って倒れた。被災者Ａは救急車で病院に運ばれ、塩化ビニルモノマー中毒と診断された。Ａは、入院加療後に回復し、翌日退院した。,0,1,0,0
